Customer_ID,Age,Employment_Status,Annual_Income,Credit_Score,Credit_Limit,Credit_Utilization,Existing_Debt,Payment_History,Delinquency_Flag,Annual_Income_Cleaned,Credit_Score_Cleaned
GELD-10000,43,Self-Employed,37037.0,595.0,5152,0.6695088565553396,4700,2,0,37037.0,595.0
GELD-10001,36,Employed,69496.0,597.0,12582,0.6512416994232331,21539,1,0,69496.0,597.0
GELD-10002,45,Employed,53355.0,565.0,6935,1.076210849314435,20056,2,1,53355.0,565.0
GELD-10003,56,Employed,,590.0,7527,0.5592101049888271,5399,2,0,44583.0,590.0
GELD-10004,35,Employed,65467.0,555.0,10566,0.6217723266461657,17696,1,0,65467.0,555.0
GELD-10005,35,Employed,41770.0,706.0,11766,0.4203067639025684,4666,1,0,41770.0,706.0
GELD-10006,56,Employed,80540.0,670.0,14420,0.5092621295078095,15365,2,0,80540.0,670.0
GELD-10007,47,Employed,54208.0,629.0,10856,0.6201430663474699,8682,0,0,54208.0,629.0
GELD-10008,32,Employed,64727.0,649.0,12705,0.7033486806380336,15406,1,0,64727.0,649.0
GELD-10009,44,Employed,35210.0,656.0,8021,0.7568557510268943,2416,2,0,35210.0,656.0
GELD-10010,32,Self-Employed,41556.0,644.0,8176,0.5400082641728714,7429,2,1,41556.0,644.0
GELD-10011,32,Self-Employed,44073.0,653.0,9953,0.6268083052691926,11441,1,0,44073.0,653.0
GELD-10012,40,Employed,79659.0,615.0,12629,1.0113491492464617,17690,0,0,79659.0,615.0
GELD-10013,18,Unemployed,12000.0,491.0,500,1.1,3313,0,0,12000.0,491.0
GELD-10014,18,Student,12000.0,569.0,4906,0.5564750732396946,23286,3,1,12000.0,569.0
GELD-10015,31,Employed,87955.0,,16354,0.5169184947841601,5740,0,0,87955.0,607.5
GELD-10016,25,Employed,20407.0,,4329,0.6207376958385629,6394,2,0,20407.0,607.5
GELD-10017,41,Employed,31653.0,620.0,9405,0.7444044894041214,8658,0,0,31653.0,620.0
GELD-10018,27,Unemployed,12000.0,559.0,2460,0.7321431402133765,4537,1,0,12000.0,559.0
GELD-10019,21,Unemployed,12000.0,422.0,2380,0.8203081259899769,2495,1,1,12000.0,422.0
GELD-10020,55,Employed,26565.0,652.0,6984,0.6744110308936602,6335,0,0,26565.0,652.0
GELD-10021,35,Employed,65241.0,613.0,10283,1.0033744096226798,33441,3,1,65241.0,613.0
GELD-10022,38,Employed,49201.0,649.0,12834,0.4548040346817116,4737,0,0,49201.0,649.0
GELD-10023,20,Employed,,608.0,8249,0.6960319335605007,7750,0,0,44583.0,608.0
GELD-10024,31,Employed,73918.0,708.0,14650,0.4848599147493923,24289,0,0,73918.0,708.0
GELD-10025,39,Unemployed,12000.0,605.0,4780,0.8959134067767234,2637,1,0,12000.0,605.0
GELD-10026,24,Employed,36419.0,647.0,7503,0.4633196108947558,7550,1,0,36419.0,647.0
